address,pools,tier,smart,bot,edge,large,targetT,targetLarge,avgNotional,copyROI,copyT,targetCopyROI,targetCopyT,shares,maxShares,markets,categories,top,score_sources,risk
0xc58df0b98437f613e20916c242403e0a6c009373,sports_holders_push,D,100.0,57.5,100.0,154,1498,154,73,0.0,0,0.0,0,444442,444442,1,soccer:1,France vs. Spain: Team to Advance,holder,"bot_like_flow,fixed_price,burst_trading,open_copy_exposure"
0xb3cfe7615d64db8dfa743a1b1a2b976911460ebd,sports_holders_push,D,100.0,56.0,100.0,490,378,141,828,12.6,2,7.8,1,102310,92657,2,basketball:2,NBA Summer League: Utah Jazz vs. LA Clippers,"holder,recent_trade","bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x381b9294c1b95b61d018ff56312fbcc4897c4d74,sports_holders_push,BOT,96.1,94.3,100.0,492,1248,462,2477,50.3,5,50.3,5,89200,51300,2,soccer:2,France vs. Spain: Team to Advance,holder,"bot_like_flow,fixed_price,extreme_price_heavy,burst_trading,opposite_side_same_market,open_copy_exposure"
0xcf6c5492124794394dd9eac46498a8babbe47e66,sports_holders_push,D,100.0,59.9,100.0,431,677,178,837,-0.6,7,-0.7,3,138890,122550,3,soccer:3,Will France win on 2026-07-14?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim,open_copy_exposure"
0xb10047d6a254b2ebb306d7a7d13bf59171ab6461,sports_holders_push,BOT,85.7,77.5,91.1,417,600,71,557,-7.0,22,4.0,5,142980,42258,5,soccer:5,Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim"
0x8d06b69858838de58452d964bbde54b33f6a7910,sports_holders_push,BOT,100.0,69.2,100.0,484,133,55,2139,32.7,16,-6.7,4,72727,72727,1,soccer:1,Will France win on 2026-07-14?,"holder,leaderboard_profit_7d","bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x0d18e30e252008d83f51dae00d36873ddd9e24a6,sports_holders_push,BOT,99.7,62.4,100.0,454,792,231,666,0.0,0,0.0,0,100000,100000,1,soccer:1,Will France win on 2026-07-14?,"holder,leaderboard_profit_30d","bot_like_flow,fixed_price,burst_trading,opposite_side_same_market,open_copy_exposure"
0xf0318c32136c2db7fec88b84869aee6a1106c80c,sports_holders_push,D,100.0,51.2,100.0,266,1039,105,683,0.0,0,0.0,0,287053,287053,1,soccer:1,France vs. Spain: Team to Advance,"existing,holder,leaderboard_profit_7d,leaderboard_profit_all,leaderboard_volume_30d,leaderboard_volume_7d","bot_like_flow,fixed_price,burst_trading,open_copy_exposure"
0x9703676286b93c2eca71ca96e8757104519a69c2,sports_holders_push,D,100.0,53.4,100.0,421,506,115,242,0.0,0,0.0,0,119308,39466,5,soccer:5,Will Spain win on 2026-07-14?,"existing,holder,leaderboard_volume_30d","bot_like_flow,burst_trading,open_copy_exposure"
0xdebbe89ceb32828a99648bca497684f5209ceedb,sports_holders_push,C,100.0,44.4,100.0,471,609,224,220,-5.8,2,-98.6,1,65996,18032,18,soccer:18,Will Lionel Messi win the Golden Ball at the 2026 FIFA World Cup?,"existing,holder","burst_trading,opposite_side_same_market,open_copy_exposure"
0xec445c8bee160281558ebb9b083ac0025006c92b,sports_holders_push,BOT,100.0,77.3,100.0,366,654,193,1220,124.2,16,129.0,10,167695,167695,1,soccer:1,Will France win on 2026-07-14?,"existing,holder","bot_like_flow,extreme_price_heavy,burst_trading,opposite_side_same_market,open_copy_exposure"
0x661daf6af6d884012dd6db73c09d72e8be224dc6,sports_holders_push,BOT,100.0,62.3,100.0,410,824,219,170,7.8,14,14.1,8,98358,31813,6,"basketball:3,soccer:3",Will Lionel Messi be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x20d6436849f930584892730c7f96ebb2ac763856,sports_holders_push,BOT,90.0,100.0,100.0,62,1366,44,72,1.3,2,1.3,2,441061,100546,10,basketball:10,Will LeBron James play for the Los Angeles Lakers in 2026-27?,existing,"bot_like_flow,fixed_amount,fixed_price,extreme_price_heavy,burst_trading,opposite_side_same_market,open_copy_exposure"
0xde7cdcab3e0c5b0e8315da358e80c7d80a12c933,sports_holders_push,BOT,100.0,69.1,100.0,414,343,139,354,8.0,36,27.8,17,74769,22005,6,"basketball:4,soccer:2",Will New York Knicks win the 2027 NBA Finals?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market"
0xb10bf118b2a3c1cff0379a4134a82eb6d51e0b04,sports_holders_push,BOT,100.0,83.2,100.0,241,647,124,292,111.5,17,94.8,7,241628,121428,10,"basketball:3,esports:4,soccer:3",Will Lionel Messi be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","bot_like_flow,fixed_price,burst_trading,opposite_side_same_market,open_copy_exposure"
0xdf17f4a8dd01a4cfa6fc3da323a2baee5f8697d1,sports_holders_push,BOT,100.0,81.8,100.0,420,556,142,773,16.2,15,15.4,11,61669,31987,6,basketball:6,Will LeBron James play for the Miami Heat in 2026-27?,existing,"bot_like_flow,extreme_price_heavy,burst_trading,opposite_side_same_market"
0xecb14ac6e9ca447ce2f2912e6217b43d7b655da3,sports_holders_push,BOT,100.0,73.8,100.0,385,372,74,819,29.8,11,89.7,2,95947,62782,2,basketball:2,Will LeBron James play for the Los Angeles Lakers in 2026-27?,existing,"bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x1eaf5d5f822dc5211c25b5839e5b7aa70f319bf0,sports_holders_push,C,100.0,44.5,100.0,293,509,92,154,0.0,0,0.0,0,179205,29000,8,soccer:8,Will Jude Bellingham be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","burst_trading,open_copy_exposure"
